text,category
My spouse is not cooperating in mutual divorce,FAMILY
I am being forced into marriage against my will,FAMILY
I want to register my marriage legally,FAMILY
I am facing cruelty from my spouse,FAMILY
I want to file for annulment of marriage,FAMILY
My spouse is hiding assets during divorce,FAMILY
I want to get protection from abusive family members,FAMILY
I am being denied share in family property,FAMILY
I want to challenge child custody order,FAMILY
My spouse is not returning my personal belongings,FAMILY
I want to file for maintenance for parents,FAMILY
My spouse is not allowing me to work,FAMILY
I want to claim guardianship of a minor,FAMILY
I am being denied right to residence by family,FAMILY
My spouse is threatening me with false cases,FAMILY
I want to file for restitution of conjugal rights,FAMILY
I want to get legal separation without divorce,FAMILY
My spouse is not allowing me to see my children,FAMILY
I want to change religion for marriage,FAMILY
My spouse is not paying expenses for children's education,FAMILY
I am facing harassment for inter-caste marriage,FAMILY
I want to get restraining order against family member,FAMILY
My spouse is not providing for household expenses,FAMILY
I want to file complaint for bigamy,FAMILY
I am being forced to marry under family pressure,FAMILY
My spouse is not cooperating in adoption process,FAMILY
I want to get legal guardianship for elderly parent,FAMILY
My spouse is denying paternity of child,FAMILY
I want to challenge maintenance order,FAMILY
My spouse is not giving consent for child's passport,FAMILY
I want to file complaint for child abuse,FAMILY
My spouse is not supporting me financially,FAMILY
I want to get protection from abusive spouse,FAMILY
I want to file complaint for child neglect,FAMILY
My spouse is threatening to take away children,FAMILY
I want to get legal rights for stepchild,FAMILY
My spouse is not providing medical expenses for child,FAMILY
I bought a product online and it was defective,CONSUMER
The shopkeeper refused to give me a bill for my purchase,CONSUMER
I am facing issues with poor service at a restaurant,CONSUMER
My warranty claim for a gadget was denied,CONSUMER
I was charged extra for a service I did not use,CONSUMER
I received a fake product from an online seller,CONSUMER
My complaint to customer care is not being resolved,CONSUMER
I was sold expired food items,CONSUMER
I want a refund for a cancelled order but the company is refusing,CONSUMER
I am being harassed by telemarketing calls,CONSUMER
I was promised a discount but charged full price,CONSUMER
My mobile service provider is not resolving network issues,CONSUMER
I was cheated in a holiday package deal,CONSUMER
My gym membership was cancelled without notice,CONSUMER
My bank charged hidden fees on my account,CONSUMER
I was denied replacement for a faulty product,CONSUMER
I am facing issues with my insurance claim,CONSUMER
My flight was cancelled and I did not get a refund,CONSUMER
My builder is delaying possession of my flat,CONSUMER
My broadband provider is not giving promised speed,CONSUMER
I was overcharged for movie tickets,CONSUMER
My car service centre did not fix the issue properly,CONSUMER
I was given misleading information about a product,CONSUMER
My credit card was charged without my consent,CONSUMER
I am facing issues with my mutual fund investment,CONSUMER
My online order was not delivered on time,CONSUMER
I was denied warranty on my electronics purchase,CONSUMER
My hotel booking was cancelled without reason,CONSUMER
My loan application was rejected without explanation,CONSUMER
I was sold a used product as new,CONSUMER
My service provider is not addressing my complaint,CONSUMER
My insurance company is delaying settlement,CONSUMER
I was charged cancellation fees unfairly,CONSUMER
My cab driver overcharged me,CONSUMER
My real estate agent misled me about property details,CONSUMER
I was denied refund for a defective item,CONSUMER
My travel agency is not responding to my queries,CONSUMER
My mobile recharge did not go through,CONSUMER
I was promised cashback but did not receive it,CONSUMER
My subscription service is not working as promised,CONSUMER
I was delivered wrong product,CONSUMER
My online food order was not fulfilled,CONSUMER
My retailer is not accepting returned goods,CONSUMER
My bank is not reversing a disputed transaction,CONSUMER
I was denied compensation for lost baggage,CONSUMER
My cable operator is not providing channels as per plan,CONSUMER
My online payment failed but money was deducted,CONSUMER
My shopping app is not resolving my complaint,CONSUMER
My warranty service is being delayed,CONSUMER
My telecom operator is not porting my number,CONSUMER
My online seller is not providing invoice,CONSUMER
My product was damaged in transit,CONSUMER
My e-commerce refund is taking too long,CONSUMER
My social media account was hacked,CYBER
I am receiving threatening messages online,CYBER
I am a victim of online financial fraud,CYBER
My personal photos were leaked without consent,CYBER
I am facing cyberbullying on social media,CYBER
My email account was compromised,CYBER
I am getting spam emails and phishing attempts,CYBER
I was cheated on an online shopping website,CYBER
My identity was stolen and misused online,CYBER
I am being harassed by unknown numbers on WhatsApp,CYBER
My online payment was fraudulently deducted,CYBER
I found my fake profile on a dating app,CYBER
My computer was infected with ransomware,CYBER
I received a call asking for my OTP,CYBER
I lost money in an online investment scam,CYBER
My company data was leaked by an employee,CYBER
I was blackmailed with morphed images,CYBER
I was a victim of online lottery fraud,CYBER
I am being stalked through social media,CYBER
I received abusive comments on my YouTube channel,CYBER
I am being doxxed on the internet,CYBER
My credit card information was stolen,CYBER
I was tricked into sharing my personal details,CYBER
My online exam account was hacked,CYBER
I am being targeted by fake news online,CYBER
I received fraudulent calls posing as bank officials,CYBER
I am getting unsolicited loan offers online,CYBER
My child is being cyberbullied,CYBER
I was defamed in an online forum,CYBER
My digital signature was misused,CYBER
I was scammed via a fake job portal,CYBER
My online gaming account was hacked,CYBER
I am being harassed by fake emails,CYBER
My website was hacked and defaced,CYBER
My online wallet was emptied by fraudsters,CYBER
I received fake tech support calls,CYBER
I am being extorted online,CYBER
My Aadhaar details were leaked online,CYBER
I am being harassed by fake customer care numbers,CYBER
My online photos were used without permission,CYBER
I was tricked into installing spyware,CYBER
My OTP was stolen and used for fraud,CYBER
My company website faced a DDoS attack,CYBER
My social media posts were plagiarized,CYBER
I am being impersonated online,CYBER
My online business account was compromised,CYBER
My online reputation is being damaged,CYBER
I am getting threats over email,CYBER
My privacy was breached by an app,CYBER
My property papers are missing,PROPERTY
I have a dispute over ancestral property,PROPERTY
My tenant is not paying rent,PROPERTY
I want to evict my tenant,PROPERTY
I have a boundary dispute with my neighbour,PROPERTY
I want to transfer property ownership,PROPERTY
I want to register my property,PROPERTY
My property is encroached,PROPERTY
I have a dispute with builder over possession,PROPERTY
My property is under illegal occupation,PROPERTY
I want to claim my share in family property,PROPERTY
My property is mortgaged,PROPERTY
I want to partition joint property,PROPERTY
I want to check property title,PROPERTY
My property is acquired by government,PROPERTY
I have a dispute over property inheritance,PROPERTY
My property tax is not updated,PROPERTY
I want to change property mutation,PROPERTY
My property is part of redevelopment project,PROPERTY
My lease agreement is not being honoured,PROPERTY
I want to sell my property,PROPERTY
I want to buy a property,PROPERTY
My property registration is delayed,PROPERTY
I have a dispute over property boundary,PROPERTY
My property is sealed by authorities,PROPERTY
I want to update property records,PROPERTY
My property is under litigation,PROPERTY
My property was allotted by government,PROPERTY
I want to convert agricultural land,PROPERTY
I want to get NOC for property,PROPERTY
I want to make a will for my property,PROPERTY
My property is attached by bank,PROPERTY
My property is in unauthorized colony,PROPERTY
I want to regularize my property,PROPERTY
My property survey is incorrect,PROPERTY
I want to cancel property deal,PROPERTY
I have a dispute with society over property,PROPERTY
My property is under dispute with siblings,PROPERTY
I want to lease my property,PROPERTY
My property is under construction,PROPERTY
My property is affected by RERA,PROPERTY
My property is part of land pooling,PROPERTY
I want to get property clearance certificate,PROPERTY
My property was damaged by builder,PROPERTY
I want to update property map,PROPERTY
My property is being acquired for road,PROPERTY
My property is subject to land ceiling,PROPERTY
I want to file property FIR,PROPERTY
My property is under forest area,PROPERTY
My property is in flood zone,PROPERTY
My employer is not honouring the contract,CONTRACT
I want to draft an employment contract,CONTRACT
I have a dispute in service agreement,CONTRACT
I want to terminate my contract,CONTRACT
My contract was breached,CONTRACT
I want to enforce a contract,CONTRACT
I have a dispute in partnership agreement,CONTRACT
I want to check contract validity,CONTRACT
My contract terms are not clear,CONTRACT
I want to renegotiate contract terms,CONTRACT
I want to claim damages for contract breach,CONTRACT
My contract is being terminated without cause,CONTRACT
I want to create a rental agreement,CONTRACT
I want to register my contract,CONTRACT
My contract is not being renewed,CONTRACT
I want to cancel a service contract,CONTRACT
My contract has a non-compete clause,CONTRACT
I have a dispute in franchise agreement,CONTRACT
I want to modify contract terms,CONTRACT
My contract was signed under duress,CONTRACT
I want to assign contract rights,CONTRACT
My contract is not stamped,CONTRACT
I want to resolve contract dispute,CONTRACT
My contract is not signed by all parties,CONTRACT
I want to enforce indemnity clause,CONTRACT
My contract is in foreign jurisdiction,CONTRACT
I want to get contract reviewed,CONTRACT
My contract is oral,CONTRACT
I want to get contract notarized,CONTRACT
My contract is being misinterpreted,CONTRACT
I want to execute contract online,CONTRACT
My contract is not registered,CONTRACT
I want to get contract translated,CONTRACT
My contract is being challenged,CONTRACT
I want to include arbitration clause,CONTRACT
My contract is with government,CONTRACT
I want to get contract attested,CONTRACT
My contract is for supply of goods,CONTRACT
I want to create a consultancy agreement,CONTRACT
My contract is being delayed,CONTRACT
My contract has penalty clause,CONTRACT
My contract is for lease,CONTRACT
I want to create joint venture contract,CONTRACT
My contract is for sale of property,CONTRACT
I want to get contract certified,CONTRACT
My contract is for loan,CONTRACT
I want to include confidentiality clause,CONTRACT
My contract is for purchase of equipment,CONTRACT
My contract is for IT services,CONTRACT
My contract is for export,CONTRACT
I want to register a company,COMPANY
I want to set up a private limited company,COMPANY
My company name is being infringed,COMPANY
I want to dissolve my company,COMPANY
I want to change company directors,COMPANY
My company is facing compliance issues,COMPANY
I want to convert partnership to company,COMPANY
My company is facing GST issues,COMPANY
I want to file annual returns for company,COMPANY
My company is being struck off,COMPANY
I want to increase company share capital,COMPANY
My company is facing audit queries,COMPANY
I want to amend company memorandum,COMPANY
My company is facing ROC issues,COMPANY
I want to change company registered office,COMPANY
My company is facing labour disputes,COMPANY
I want to merge companies,COMPANY
My company is facing tax notice,COMPANY
I want to appoint company secretary,COMPANY
My company is facing shareholder dispute,COMPANY
I want to issue company shares,COMPANY
My company is facing director disqualification,COMPANY
I want to create company ESOP,COMPANY
My company is facing winding up,COMPANY
I want to get company PAN,COMPANY
My company is involved in litigation,COMPANY
I want to change company objectives,COMPANY
My company is facing trademark issues,COMPANY
I want to file company charges,COMPANY
My company is facing foreign investment issues,COMPANY
I want to restructure my company,COMPANY
My company is facing FEMA issues,COMPANY
I want to get company DIN,COMPANY
My company is facing PF/ESI issues,COMPANY
I want to get company TAN,COMPANY
My company is facing business license issues,COMPANY
I want to create company LLP,COMPANY
My company is facing insolvency,COMPANY
I want to get company GST registration,COMPANY
My company is facing board meeting issues,COMPANY
I want to appoint company auditor,COMPANY
My company is facing SEBI issues,COMPANY
I want to change company shareholding pattern,COMPANY
My company is facing dividend issues,COMPANY
I want to get company registration certificate,COMPANY
My company is facing environmental compliance issues,COMPANY
I want to file company compliance documents,COMPANY
My company is facing export/import issues,COMPANY
I want to close company branch,COMPANY
My company is facing partnership disputes,COMPANY
My bank account is frozen,BANKING
I want to close my bank account,BANKING
My bank is charging extra fees,BANKING
I want to open a joint bank account,BANKING
My bank cheque is dishonoured,BANKING
I want to dispute a bank transaction,BANKING
My bank loan is rejected,BANKING
I want to apply for a credit card,BANKING
My bank is not updating KYC,BANKING
I want to report bank fraud,BANKING
My bank is not releasing funds,BANKING
I want to change bank nominee,BANKING
My bank is not crediting salary,BANKING
I want to update bank address,BANKING
My bank account is hacked,BANKING
I want to get bank statement,BANKING
My bank is not processing loan,BANKING
I want to transfer funds internationally,BANKING
My bank ATM card is lost,BANKING
I want to increase ATM withdrawal limit,BANKING
My bank is not reversing charges,BANKING
I want to get bank NOC,BANKING
My bank account is dormant,BANKING
I want to activate internet banking,BANKING
My bank is not clearing payment,BANKING
I want to get bank loan waiver,BANKING
My bank is not updating account details,BANKING
I want to convert savings to current account,BANKING
My bank is not providing interest,BANKING
I want to claim insurance from bank,BANKING
My bank is not accepting deposit,BANKING
I want to change bank branch,BANKING
My bank is not issuing cheque book,BANKING
I want to cancel standing instruction,BANKING
My bank is not refunding failed transaction,BANKING
I want to block my debit card,BANKING
My bank is not providing loan statement,BANKING
I want to get overdraft facility,BANKING
My bank is not updating PAN details,BANKING
I want to get bank guarantee,BANKING
My bank is not settling dispute,BANKING
I want to update phone number in bank,BANKING
My bank is not providing account closure,BANKING
I want to get bank locker,BANKING
My bank is not crediting refund,BANKING
I want to get interest certificate from bank,BANKING
My bank is not updating nominee details,BANKING
I want to get duplicate passbook,BANKING
My bank is not processing ECS mandate,BANKING
My bank is not updating address,BANKING
