issue_id,category,title,example_text,laws_sections,advice_text
TENANCY_ILLEGAL_EVICTION,TENANCY,Landlord entered my room without informing,The landlord entered my room without informing me,,"Record the date, time, and details of the landlord’s unauthorized entry, and inform them in writing that such actions violate your right to privacy. Request that prior notice be given for any future entry. If the landlord repeats this behavior, file a complaint with the Rent Authority and, if you feel threatened, approach the local police. Keep all evidence and communication for your records."
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Leaking ceiling not fixed,My landlord has not fixed the leaking ceiling despite repeated requests,,"Take clear photos of the leaking ceiling and send a written request for urgent repairs to your landlord, including a deadline for response. If repairs are not carried out, escalate by filing a complaint with the local municipality and notify the Rent Authority. If the issue causes health or property damage, keep documentation for compensation claims. Retain all repair-related communication and receipts."
TENANCY_UNREGISTERED_AGREEMENT,TENANCY,Forced to sign blank rent agreement,I was forced to sign a blank rent agreement by my landlord,,"Firmly refuse to sign any blank rent agreement and request a fully completed and signed copy for your records. If pressured, document the incident and inform the landlord in writing that you will only sign a filled agreement. Report the attempt to the Rent Authority if necessary. Keep all communication as evidence. Never hand over blank signed documents."
TENANCY_UNFAIR_PENALTIES,TENANCY,Landlord demanding extra painting charges,Landlord is demanding more money for painting charges after I moved out,,"Ask your landlord for a detailed bill and receipts for any painting charges. Refuse to pay unless you receive proof of actual expenses and work completed. If the landlord deducts from your deposit or demands unfair charges, submit a complaint with the Rent Authority and provide all supporting documents. Maintain all communication and transaction records for your case."
TENANCY_NOISE_NUISANCE,TENANCY,Neighbours creating noise and landlord ignoring,The neighbours are creating a lot of noise and the landlord is not taking action,,"Keep an incident log with dates and descriptions of noise problems caused by neighbours. Notify your landlord in writing about the disturbance and request intervention. If ignored, file a complaint with the Rent Authority and, if necessary, report persistent noise to the local police or municipality. Collect audio or video evidence if possible. Cooperate with other affected tenants to strengthen your case."
TENANCY_ILLEGAL_EVICTION,TENANCY,Threatened with eviction for not paying increased rent,I am being threatened with eviction if I do not pay increased rent,,"Document all communication and payment records related to the rent increase. If you are threatened with eviction for not paying the increased amount, refuse to pay without valid notice and file a complaint with the Rent Authority. Attach all supporting evidence to your complaint. If the landlord attempts illegal eviction, notify the local police with your documentation. Assert your rights firmly at each stage."
TENANCY_NO_PAYMENT_RECEIPTS,TENANCY,Rent in cash without acknowledgment,My landlord is asking for rent in cash and not giving any acknowledgment,,"Switch to paying rent via bank transfer or cheque and request written receipts for every payment. If the landlord refuses, send a formal request for acknowledgment of payments and keep copies of all correspondence. File a complaint with the Rent Authority if receipts are still denied. Maintain detailed records for your protection in case of disputes."
TENANCY_LACK_OF_BASIC_AMENITIES,TENANCY,Broken water pipeline not repaired,The landlord refuses to repair the broken water pipeline,,"Take dated photographs of the broken pipeline and send a written repair request to your landlord. If repairs are not completed promptly, contact the local municipality and file a complaint with the Rent Authority. Keep all communication and receipts for any temporary repairs you arrange. Escalate if water supply is severely affected."
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Pest infestation not addressed,There is a pest infestation in the house and the landlord is not doing anything,,"Send a written complaint to your landlord about the pest infestation and request immediate pest control. Document the problem with photos and keep all communication. If the landlord does not act, contact the local municipality’s health department and notify the Rent Authority. Organize with other tenants if the issue is widespread. Keep records for possible compensation claims."
TENANCY_ILLEGAL_EVICTION,TENANCY,Asked to vacate immediately for landlord’s personal reasons,I am being asked to vacate immediately due to landlord's personal reasons,,"Check your lease for notice period requirements and do not vacate immediately unless proper notice is served. Document any verbal or written requests to vacate for the landlord’s personal reasons. If pressured, file a complaint with the Rent Authority and request intervention. Keep all communication and evidence of tenancy. Only hand over possession after official procedures."
TENANCY_UNLAWFUL_DOCUMENT_RETENTION,TENANCY,Original documents not returned,The landlord is not returning my original documents given at the time of agreement,,"Formally request the return of your original documents from the landlord and keep a copy of your request. If documents are still withheld, file a complaint with the Rent Authority and, if necessary, approach the local police for assistance in recovering your property. Retain proof of all communication and tenancy records."
TENANCY_DISCRIMINATION,TENANCY,Discrimination due to religion,I am facing discrimination from the landlord for my religion,,"Document every incident of discrimination due to religion, including dates, statements, and witnesses. Send a formal complaint to your landlord and request written clarification. If discrimination continues, file a complaint with the Rent Authority and approach the local police or human rights commission. Keep all evidence safely for any further proceedings."
TENANCY_UTILITY_BILL_DISPUTE,TENANCY,Extra charge for using kitchen gas,Landlord is asking for extra money for using kitchen gas connection,,"Request a detailed written explanation for any extra kitchen gas charges and demand proper receipts. Refuse to pay arbitrary charges. If the landlord persists, file a complaint with the consumer forum and notify the Rent Authority. Keep all payment records and communication as evidence."
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Improper garbage disposal,There is no proper garbage disposal and the landlord ignores the issue,,"Take photos of improper garbage disposal and send a written complaint to your landlord, requesting regular cleaning. If not resolved, file a complaint with the local municipality and notify the Rent Authority. Organize with other tenants for collective action if needed. Keep all correspondence and records."
TENANCY_ILLEGAL_EVICTION,TENANCY,Threatened to cut electricity for complaining,The landlord is threatening to cut electricity if I complain,,"Keep a record of all threats and complaints regarding electricity. If your landlord threatens to cut power for raising concerns, immediately file a complaint with the local electricity board and notify the Rent Authority. If electricity is actually disconnected, approach the local police for prompt restoration. Preserve all evidence for escalation."
TENANCY_RESTRICTION_ON_GUESTS,TENANCY,Not allowed to keep pets,I am not allowed to keep pets as per landlord's rules,,"Check your rent agreement for pet policy and request written clarification from your landlord. If pets are not explicitly prohibited, assert your right to keep them. If you face unreasonable restrictions, file a complaint with the Rent Authority and attach all supporting documents. Keep all correspondence and evidence."
TENANCY_UNILATERAL_TERMINATION,TENANCY,Landlord refusing to renew agreement,Landlord is refusing to renew my rental agreement,,"Request a written explanation from your landlord for refusal to renew the agreement. Attempt to negotiate renewal and document all discussions. If renewal is denied without valid reason, file a complaint with the Rent Authority. Retain all communication and payment records for reference."
TENANCY_UNREGISTERED_AGREEMENT,TENANCY,Lease copy not provided,The landlord is not giving me a copy of the lease agreement,,"Send a written request to your landlord for a copy of the lease agreement and keep proof of your request. If the landlord refuses or delays, file a complaint with the Rent Authority. Maintain all payment and communication records as evidence of your tenancy."
TENANCY_UNFAIR_PENALTIES,TENANCY,Deposit deducted for old damages,My deposit was deducted for damages that were already present,,"Ask your landlord for a detailed list and proof of any damages deducted from your deposit. Refuse to pay for pre-existing or normal wear and tear. If unfair deductions are made, file a complaint with the Rent Authority and provide supporting evidence. Keep all inspection and communication records."
TENANCY_LACK_OF_BASIC_AMENITIES,TENANCY,Parking space not provided,Landlord is not providing parking space as promised,,"Remind your landlord in writing about the agreed parking space and request immediate access. If denied, file a complaint with the Rent Authority and attach your agreement and communication records. Organize with other tenants if multiple people are affected. Retain all evidence for further proceedings."
TENANCY_UTILITY_BILL_DISPUTE,TENANCY,Extra maintenance charge over rent,The landlord is charging maintenance charges over and above rent,,"Request a detailed breakdown of any extra maintenance charges over rent and demand receipts. Refuse to pay for unagreed charges. If disputes arise, file a complaint with the consumer forum and notify the Rent Authority. Keep all payment and communication records for your case."
TENANCY_UNILATERAL_TERMINATION,TENANCY,No advance notice for rent increase,I was not informed about the rent increase in advance,,"Ask your landlord for advance written notice of any rent increase and keep a copy of your request. Refuse to pay the increased rent until proper notice is given. If the landlord insists or threatens action, file a complaint with the Rent Authority. Retain all communication and payment records."
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Repairs in kitchen not allowed,My landlord is not allowing repairs needed in the kitchen,,"Send a written request to your landlord for permission to carry out necessary kitchen repairs, explaining the urgency. If refused, escalate by filing a complaint with the Rent Authority and keeping all communication as evidence. Arrange for repairs only after exhausting these options."
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Damp issues not fixed,The flat has serious damp issues but landlord is not fixing them,,"Document all damp issues with photos and dates, and send a written repair request to your landlord. If problems persist, file complaints with the local municipality and the Rent Authority. Keep records of all communication and any health impacts caused by the dampness."
TENANCY_UTILITY_BILL_DISPUTE,TENANCY,Charged for water despite irregular supply,I am being charged for water even when the supply is irregular,,"Request a detailed water bill and refuse to pay for periods of irregular supply. Document all instances of water shortage and communicate with your landlord in writing. If charges are still demanded, file a complaint with the consumer forum and notify the Rent Authority. Keep all records and payment proofs."
TENANCY_RESTRICTION_ON_GUESTS,TENANCY,Terrace access denied,Landlord is not allowing me to use the terrace,,"Check your agreement for terrace access rights and request written clarification from your landlord. If access is unfairly denied, file a complaint with the Rent Authority and provide supporting documents. Organize with other tenants if the terrace is a common area. Retain all correspondence."
TENANCY_ILLEGAL_EVICTION,TENANCY,Forced to vacate for landlord’s family,I am being forced to vacate due to owner's family moving in,,"Review your lease for notice period requirements and do not vacate for the landlord’s family without official notice. Document all requests to vacate and communicate your position in writing. If pressured, file a complaint with the Rent Authority and keep all evidence."
TENANCY_UNFAIR_PENALTIES,TENANCY,Advance rent not returned,Landlord is not returning advance rent paid,,"Send a written demand for return of advance rent to your landlord, attaching payment proof. If not refunded within a reasonable time, file a complaint with the Rent Authority and provide all supporting documents. Escalate to the consumer forum if the amount remains unpaid."
TENANCY_UTILITY_BILL_DISPUTE,TENANCY,No separate electricity meter,The landlord is not providing separate electricity meter,,"Request your landlord in writing to install a separate electricity meter and keep proof of your request. If refused, approach the local electricity board for guidance and file a complaint with the Rent Authority. Retain all communication and payment records."
TENANCY_ILLEGAL_EVICTION,TENANCY,Threatened to pay extra for AC,I am being threatened to pay extra for using AC,,"Demand a written explanation and receipts for any extra charges for AC usage. Refuse to pay unless agreed in your contract. If the landlord insists, file a complaint with the consumer forum and notify the Rent Authority. Keep all records and correspondence."
TENANCY_ILLEGAL_EVICTION,TENANCY,Harassed to pay for repairs,Landlord is harassing me to pay for repairs,,"Request a detailed breakdown of repair costs from your landlord and refuse to pay for repairs that are not your responsibility. Keep all communication and payment proofs. If demands continue, file a complaint with the Rent Authority for resolution."
TENANCY_RESTRICTION_ON_GUESTS,TENANCY,Not allowed to extend stay,The landlord is not allowing me to extend my stay,,"Send a written request to your landlord for an extension of your stay and document all negotiations. If extension is refused without valid reason, file a complaint with the Rent Authority and provide your tenancy records. Retain all communication."
TENANCY_NO_PAYMENT_RECEIPTS,TENANCY,No rent receipt for online payment,I am not being given a rent receipt for online payments,,"Request a written rent receipt for your online payment and keep digital payment proofs. If the landlord refuses, file a complaint with the Rent Authority and attach all relevant records. Continue paying rent through verifiable means."
TENANCY_UNILATERAL_TERMINATION,TENANCY,Forced to sign new agreement with higher rent,The landlord is forcing me to sign a new agreement with higher rent,,"Refuse to sign a new agreement with higher rent unless mutually agreed. Document all discussions and reasons for refusal. If pressured, file a complaint with the Rent Authority and retain all communication and previous agreements."
TENANCY_UNFAIR_PENALTIES,TENANCY,Deposit not returned after leaving,My landlord is not giving me back the deposit after leaving the house,,"Send a written demand for return of your deposit after leaving, attaching proof of payment and handover. If not refunded within a reasonable period, file a complaint with the Rent Authority and escalate to the consumer forum if needed. Retain all communication."
TENANCY_NOISE_NUISANCE,TENANCY,Landlord not resolving neighbour disputes,The landlord is not resolving neighbour disputes affecting my stay,,"Document all neighbour disputes and your communication with the landlord regarding resolution. If the landlord fails to act, file a complaint with the Rent Authority and, if necessary, approach the local police for intervention. Keep all records and evidence."
TENANCY_RESTRICTION_ON_GUESTS,TENANCY,Not allowed to shift before notice period,Landlord is not allowing me to shift before the notice period ends,,"Request written permission from your landlord if you need to shift before the notice period ends, explaining your situation. If refused, file a complaint with the Rent Authority and provide supporting documents. Retain all communication for your records."
TENANCY_UNFAIR_PENALTIES,TENANCY,Money deducted for painting not done,The landlord is deducting money for painting which was not done,,"Request a detailed bill and proof of painting from your landlord. Refuse to pay or accept deductions for work not done. If the landlord insists, file a complaint with the Rent Authority and keep all evidence."
TENANCY_LACK_OF_BASIC_AMENITIES,TENANCY,Basic amenities not provided,My landlord is not providing basic amenities as promised,,"List all missing basic amenities and send a formal request to your landlord for immediate provision. If not resolved, file a complaint with the local municipality and notify the Rent Authority. Keep all records and photos for your case."
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Broken geyser not fixed,My landlord has refused to fix the broken geyser for weeks,,"Send a written request for urgent geyser repair to your landlord and keep a copy. If repairs are not done, contact the local plumber and inform the Rent Authority. Keep all receipts and communication."
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Asked to pay for landlord’s repairs,I am being asked to pay for repairs that are landlord's responsibility,,Ask your landlord for a breakdown of any repair costs you are asked to pay and refuse to cover repairs that are not your responsibility. Maintain all payment records and communication. File a complaint with the Rent Authority if necessary.
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Common areas not maintained,My landlord is not maintaining the common areas,,"Document all maintenance issues in common areas with photos and dates. Send a written request to your landlord for repairs or cleaning. If not resolved, file a complaint with the local municipality and notify the Rent Authority. Keep all evidence."
TENANCY_RESTRICTION_ON_GUESTS,TENANCY,Not allowed to host guests overnight,The landlord is not allowing me to host guests overnight,,"Check your agreement for guest policy and request written clarification from your landlord. If you are unreasonably prevented from hosting guests overnight, file a complaint with the Rent Authority and provide supporting documents. Retain all records."
TENANCY_UNFAIR_PENALTIES,TENANCY,Deposit not refunded after inspection,My landlord is not refunding the deposit even after the inspection,,"After inspection, ask your landlord in writing for a clear explanation if your deposit is not refunded. If you do not receive a satisfactory response, file a complaint with the Rent Authority and attach all inspection and payment records. Escalate to the consumer forum if needed."
LABOUR_DELAYED_SALARY,LABOUR,Salary not paid on time,My employer is not paying my salary on time,,"Immediately request a written explanation for your termination and keep all employment records. If no notice or valid reason is provided, file a complaint with the Labour Commissioner and include your appointment letter and salary slips. You may also send a formal demand for reinstatement or compensation. Retain all correspondence for further action. Escalate to the labour court if the employer does not respond."
LABOUR_ILLEGAL_TERMINATION,LABOUR,Terminated without notice or reason,I was terminated without any prior notice or reason,,"Track your work hours and request overtime pay in writing from your employer. If extra hours are unpaid, file a complaint with the Labour Commissioner, attaching your work records and salary slips. Refuse to work overtime unless proper compensation is promised. Keep all communications as evidence. Join with co-workers to strengthen your case if needed."
LABOUR_UNPAID_OVERTIME,LABOUR,Forced overtime without extra pay,I am being forced to work overtime without extra pay,,"Collect all salary slips, appointment letter, and PF account details. Send a written demand to your employer for release of your provident fund after leaving the job. If you do not receive payment, file a complaint with the PF office and Labour Commissioner, attaching all supporting documents. Follow up regularly until your dues are cleared."
LABOUR_PF_NOT_RECEIVED,LABOUR,Provident fund not received after leaving job,I have not received my provident fund after leaving the job,,"Document all incidents of harassment by your boss, noting dates, witnesses, and messages. File a written complaint with your company’s internal committee or HR department. If no action is taken, escalate to the Labour Commissioner or local police with your evidence. Maintain a record of all complaints and responses."
LABOUR_WORKPLACE_HARASSMENT,LABOUR,Boss harassing at workplace,My boss is harassing me at the workplace,,"Keep a record of all communication regarding your resignation and pregnancy. If you are asked to resign due to pregnancy, file a complaint with the Labour Commissioner and Women’s Commission. Demand written reasons for resignation and request maternity benefits. Retain all employment records and correspondence."
LABOUR_PREGNANCY_DISCRIMINATION,LABOUR,Asked to resign due to pregnancy,I was asked to resign due to my pregnancy,,"Send a written request to your employer for your appointment letter and keep proof of communication. If not provided, file a complaint with the Labour Commissioner and attach your employment records. You may also approach your company’s HR department for resolution. Retain all future employment documents safely."
LABOUR_NO_APPOINTMENT_LETTER,LABOUR,Appointment letter not given,My employer has not given me an appointment letter,,"Document every incident of caste discrimination at work, including statements, emails, and witnesses. File a formal complaint with HR and escalate to the Labour Commissioner or local anti-discrimination authority. Keep all evidence for further proceedings. Request a written response from your employer."
LABOUR_CASTE_DISCRIMINATION,LABOUR,Discriminated at work due to caste,I am being discriminated against for my caste at work,,"Review your company policy on paid leaves and request your entitled leave in writing. If leaves are denied, file a complaint with the Labour Commissioner, attaching your salary slips and appointment letter. Keep records of all leave requests and employer responses for your case."
LABOUR_LEAVE_DENIAL,LABOUR,Paid leaves not allowed as per policy,My company is not allowing paid leaves as per policy,,"Request your gratuity payment in writing from your employer after retirement and keep proof of employment and service period. If payment is delayed or denied, file a complaint with the Labour Commissioner and gratuity office. Attach all supporting documents and follow up regularly."
LABOUR_GRATUITY_NOT_RECEIVED,LABOUR,Gratuity not received after retirement,I am not getting my gratuity after retirement,,"Ask your employer for a written explanation of any salary deductions and keep your salary slips. If deductions are not valid, file a complaint with the Labour Commissioner and attach all payment records. Request a refund and keep a record of all correspondence."
LABOUR_UNJUST_DEDUCTION,LABOUR,Salary deducted without valid reason,My employer is deducting salary for no valid reason,,"Refuse to sign any blank resignation letter and document the incident. Inform your employer in writing that you will only sign a filled and dated letter. If pressured, file a complaint with the Labour Commissioner and keep all communication as evidence."
LABOUR_UNFAIR_RESIGNATION,LABOUR,Forced to sign blank resignation letter,I am being forced to sign a blank resignation letter,,"Send a written request for safety measures at your workplace to your employer and keep proof of all complaints. If safety is not provided, file a complaint with the Labour Commissioner and local health authority. Document unsafe conditions with photos and witness statements."
LABOUR_UNSAFE_WORK_ENVIRONMENT,LABOUR,Safe working environment not provided,My employer is not providing a safe working environment,,Document all communication and evidence of promotion denial due to gender. File a formal complaint with your company’s HR department and escalate to the Labour Commissioner or Women’s Commission if needed. Request a written explanation from your employer.
LABOUR_GENDER_DISCRIMINATION,LABOUR,Promotion denied due to gender,I was denied promotion due to my gender,,"Track your wages and work hours to ensure compliance with minimum wage laws. If underpaid, file a complaint with the Labour Commissioner, attaching your salary slips and work records. Demand immediate correction and keep all correspondence."
LABOUR_MINIMUM_WAGE_VIOLATION,LABOUR,Minimum wage laws not followed,My company is not following minimum wage laws,,"Request a written explanation for your transfer and keep all employment records. If transferred without consent, file a complaint with the Labour Commissioner and attach all supporting documents. Seek negotiation with your employer for reconsideration."
LABOUR_UNCONSENTED_TRANSFER,LABOUR,Transferred without consent,I was transferred to a different city without consent,,"Collect all salary slips and ESI account details. Send a written request to your employer for ESI contributions and keep proof of communication. If contributions are not deposited, file a complaint with the ESI office and Labour Commissioner."
LABOUR_ESI_NOT_DEPOSITED,LABOUR,ESI contributions not deposited,My employer is not depositing my ESI contributions,,"Request maternity benefits in writing from your employer and keep proof of your employment and medical records. If denied, file a complaint with the Labour Commissioner and Women’s Commission, attaching all supporting documents."
LABOUR_MATERNITY_BENEFITS_DENIED,LABOUR,Maternity benefits denied,I am being denied maternity benefits,,"Send a written request to your employer for your experience certificate and keep proof of all communication. If not provided, file a complaint with the Labour Commissioner and attach your employment records. Retain all future employment documents."
LABOUR_NO_EXPERIENCE_CERTIFICATE,LABOUR,Experience certificate not given,My company is not giving me experience certificate,,"Ask your employer for a written explanation for your suspension and keep all employment records. If suspended without enquiry, file a complaint with the Labour Commissioner and attach all supporting documents. Request reinstatement or a proper enquiry."
LABOUR_SUSPENSION_WITHOUT_ENQUIRY,LABOUR,Suspended without enquiry,I was suspended without any enquiry,,"Request permission to join a union in writing and keep proof of all communication. If denied, file a complaint with the Labour Commissioner and attach your employment records. Join with other workers to strengthen your case."
LABOUR_UNION_MEMBERSHIP_DENIED,LABOUR,Not allowed to join a union,My employer is not allowing me to join a union,,"Document all incidents of bullying by co-workers, including dates and witnesses. File a formal complaint with your company’s HR department. If no action is taken, escalate to the Labour Commissioner with your evidence."
LABOUR_WORKPLACE_BULLYING,LABOUR,Bullied by co-workers,I am being bullied by co-workers and management is ignoring it,,"Send a written request for salary slips to your employer and keep proof of all communication. If not provided, file a complaint with the Labour Commissioner and attach your payment records."
LABOUR_NO_SALARY_SLIPS,LABOUR,Salary slips not given,My employer is not giving me salary slips,,"Document all work on national holidays and request extra pay or compensatory leave in writing. If not paid, file a complaint with the Labour Commissioner and attach your work records and salary slips."
LABOUR_FORCED_NATIONAL_HOLIDAY_WORK,LABOUR,Forced to work on national holidays,I am being forced to work on national holidays,,"Track your overtime hours and request payment in writing from your employer. If not paid, file a complaint with the Labour Commissioner and attach your work records and salary slips."
LABOUR_UNPAID_OVERTIME,LABOUR,Company not paying overtime wages,My company is not paying overtime wages,,"Review your job description and document any tasks assigned outside your role. Request clarification from your employer in writing. If unreasonable work is demanded, file a complaint with the Labour Commissioner and attach your employment records."
LABOUR_UNFAIR_JOB_ASSIGNMENT,LABOUR,Asked to do work outside job description,I am being asked to do work outside my job description,,"Request sick leave in writing from your employer and keep proof of all communication. If denied, file a complaint with the Labour Commissioner and attach your medical and employment records."
LABOUR_SICK_LEAVE_DENIED,LABOUR,Sick leave not allowed,My employer is not allowing me to take sick leave,,"Document all incidents of sexual harassment with dates, statements, and witnesses. File a formal complaint with your company’s internal committee or HR department. If no action is taken, escalate to the Labour Commissioner or local police with your evidence."
LABOUR_SEXUAL_HARASSMENT,LABOUR,Sexual harassment at workplace,I am facing sexual harassment at the workplace,,"Document lack of basic facilities like drinking water at your workplace and send a written complaint to your employer. If not resolved, file a complaint with the Labour Commissioner and local health authority."
LABOUR_INADEQUATE_FACILITIES,LABOUR,Basic facilities like drinking water not provided,My employer is not providing basic facilities like drinking water,,"Request payment for your training period in writing and keep proof of attendance and work. If not paid, file a complaint with the Labour Commissioner and attach your employment records."
LABOUR_UNPAID_TRAINING,LABOUR,Not paid for training period,I am not being paid for training period,,"Document all unsafe working conditions and send a written complaint to your employer. If safety regulations are not followed, file a complaint with the Labour Commissioner and local health authority, attaching photos and witness statements."
LABOUR_SAFETY_VIOLATION,LABOUR,Safety regulations not followed,My company is not following safety regulations,,"Request a written explanation for your demotion and keep all employment records. If demoted without reason, file a complaint with the Labour Commissioner and attach your supporting documents."
LABOUR_UNJUST_DEMOTION,LABOUR,Demoted without valid reason,I was demoted without any valid reason,,"Send a written request for reimbursement of travel expenses to your employer and keep proof of all expenses. If not reimbursed, file a complaint with the Labour Commissioner and attach your expense records."
LABOUR_EXPENSES_NOT_REIMBURSED,LABOUR,Travel expenses not reimbursed,My employer is not reimbursing my travel expenses,,"Document all threats related to job loss for complaining and keep copies of all communication. File a formal complaint with the Labour Commissioner, attaching all evidence and correspondence."
LABOUR_THREATENED_JOB_LOSS,LABOUR,Threatened with job loss for complaining,I am being threatened with job loss if I complain,,"Collect all salary slips and pension account details. Send a written request to your employer for pension fund contributions. If not contributed, file a complaint with the Labour Commissioner and pension office."
LABOUR_PENSION_NOT_CONTRIBUTED,LABOUR,Pension fund not contributed,My company is not contributing to my pension fund,,"Track your work hours and pay to ensure equal pay for equal work. If underpaid, file a complaint with the Labour Commissioner, attaching your salary slips and work records."
LABOUR_UNEQUAL_PAY,LABOUR,Not getting equal pay for equal work,I am not getting equal pay for equal work,,"Request insurance coverage details from your employer in writing and keep proof of all communication. If not provided, file a complaint with the Labour Commissioner and insurance authority."
LABOUR_NO_INSURANCE,LABOUR,Insurance coverage not provided,My employer is not providing insurance coverage,,"Refuse to sign any unfair employment contract and document the incident. Request a fair contract in writing. If pressured, file a complaint with the Labour Commissioner and keep all communication as evidence."
LABOUR_UNFAIR_CONTRACT,LABOUR,Forced to sign unfair employment contract,I am being forced to sign unfair employment contract,,"Request medical leave in writing from your employer and keep proof of all communication. If refused, file a complaint with the Labour Commissioner and attach your medical and employment records."
LABOUR_MEDICAL_LEAVE_DENIED,LABOUR,Medical leave refused,My employer refuses to provide medical leave,,"Document all work hours and request proper breaks in writing from your employer. If breaks are not allowed, file a complaint with the Labour Commissioner and attach your work records."
LABOUR_BREAKS_DENIED,LABOUR,No breaks allowed during work hours,My company is not allowing breaks during work hours,,"Request leave for family events in writing from your employer and keep proof of all communication. If denied, file a complaint with the Labour Commissioner and attach your employment records."
LABOUR_FAMILY_LEAVE_DENIED,LABOUR,Denied leave for family events,I am being denied leave for important family events,,"Collect all salary slips and PF account details. Send a written request to your employer for PF deposit and keep proof of communication. If PF is deducted but not deposited, file a complaint with the PF office and Labour Commissioner."
LABOUR_PF_NOT_DEPOSITED,LABOUR,PF deducted but not deposited,My employer is deducting PF without depositing it,,"Request payment for your notice period in writing and keep proof of your employment records. If not paid, file a complaint with the Labour Commissioner and attach all supporting documents."
