Text,Category ,Relevant Laws
Landlord is not providing parking space as promised,TENANCY,"Transfer of Property Act, Section 108 (Obligations of landlord)
Civil Remedies
Indian Contract Act (Breach of contract)"
The landlord is charging maintenance charges over and above rent,TENANCY,"Transfer of Property Act, Section 108 (Obligations)
Indian Contract Act, Section 73 (Remedies)
Consumer Protection Act"
I was not informed about the rent increase in advance,TENANCY,"Rent Control Act / Transfer of Property Act, Section 109 (Notice for rent increase)
Indian Contract Act, Section 74 (Penalty for breach)
Civil Procedure Code"
My landlord is not allowing repairs needed in the kitchen,TENANCY,"Transfer of Property Act, Section 108 (Maintenance obligations)
Indian Contract Act, Section 73
Consumer Protection Act"
The flat has serious damp issues but landlord is not fixing them,TENANCY,"Transfer of Property Act, Section 108 (Maintenance obligations)
Municipal Regulations
Indian Contract Act, Section 73"
I am being charged for water even when the supply is irregular,TENANCY,"Municipal Regulations (Water supply)
Transfer of Property Act, Section 108
Consumer Protection Act"
Landlord is not allowing me to use the terrace,TENANCY,"Transfer of Property Act, Section 108 (Tenant rights)
Indian Contract Act (Interference with enjoyment)
IPC Section 441 (Trespass)"
I am being forced to vacate due to owner's family moving in,TENANCY,"Transfer of Property Act, Section 108 (Tenant protection)
IPC Section 503
Rent Control Act (Illegal eviction prevention)"
Landlord is not returning advance rent paid,TENANCY,"Transfer of Property Act, Section 108 (Obligations)
Civil Procedure Code (Recovery of amount)
Consumer Protection Act"
The landlord is not providing separate electricity meter,TENANCY,"Electricity Act, Section 56
Transfer of Property Act, Section 108
Consumer Protection Act"
I am being threatened to pay extra for using AC,TENANCY,"IPC Section 506 (Criminal intimidation)
Indian Contract Act, Section 73
Transfer of Property Act, Section 108"
Landlord is harassing me to pay for repairs,TENANCY,"Transfer of Property Act, Section 108
Indian Contract Act, Section 73
IPC Sections 503/506"
The landlord is not allowing me to extend my stay,TENANCY,"Transfer of Property Act, Section 106 & 108
Rent Control Act (Extension rights)
Civil Procedure Code"
I am not being given a rent receipt for online payments,TENANCY,"Transfer of Property Act, Section 108 (Receipt obligation)
Income Tax Act
Consumer Protection Act"
The landlord is forcing me to sign a new agreement with higher rent,TENANCY,"Indian Contract Act, Section 15 (Coercion)
Transfer of Property Act, Section 106 & 108
IPC Section 503"
My landlord is not giving me back the deposit after leaving the house,TENANCY,"Transfer of Property Act, Section 108 (Deposit obligations)
Civil Procedure Code
Consumer Protection Act"
The landlord is not resolving neighbour disputes affecting my stay,TENANCY,"Transfer of Property Act, Section 108 (Obligations)
Municipal Regulations
Civil Remedies"
Landlord is not allowing me to shift before the notice period ends,TENANCY,"Transfer of Property Act, Section 108 (Tenant rights)
IPC Section 503
Rent Control Act"
The landlord is deducting money for painting which was not done,TENANCY,"Transfer of Property Act, Section 108 (Obligations)
Indian Contract Act, Section 73
Consumer Protection Act"
My landlord is not providing basic amenities as promised,TENANCY,"Transfer of Property Act, Section 108 (Obligations)
Municipal Regulations
Consumer Protection Act"
My landlord has refused to fix the broken geyser for weeks,TENANCY,"Transfer of Property Act, Section 108 (Maintenance obligations)
Indian Contract Act, Section 73
Municipal Regulations"
I am being asked to pay for repairs that are landlord's responsibility,TENANCY,"Transfer of Property Act, Section 108
Indian Contract Act, Section 73
Civil Procedure Code"
My landlord is not maintaining the common areas,TENANCY,"Transfer of Property Act, Section 108
Municipal Regulations
Indian Contract Act"
The landlord is not allowing me to host guests overnight,TENANCY,"Transfer of Property Act, Section 108 (Tenant rights)
Indian Contract Act
IPC Section 441"
My landlord is not refunding the deposit even after the inspection,TENANCY,"Transfer of Property Act, Section 108 (Deposit obligations)
Civil Procedure Code
Consumer Protection Act"
My employer is not paying my salary on time,LABOUR,"Payment of Wages Act, 1936 (Timely payment of wages)  Industrial Disputes Act, 1947 (Remedies for non-payment / labour disputes)  Shops & Establishment Act (State) (Payment & record-keeping obligations)"
I was terminated without any prior notice or reason,LABOUR,"Industrial Disputes Act, 1947 (Termination without notice â€” wrongful dismissal and compensation)  Shops & Establishment Act (State) (Notice / termination procedures)  Contract of Employment (Breach / wrongful termination)"
I am being forced to work overtime without extra pay,LABOUR,"Factories Act, 1948 (Working hours & overtime rules)  Minimum Wages Act, 1948 (Entitlement to overtime rates)  Payment of Wages Act, 1936 (Wages for overtime)"
I have not received my provident fund after leaving the job,LABOUR,"Employeesâ€™ Provident Funds & Misc. Provisions Act, 1952 (PF contribution & withdrawal rights)  Employeesâ€™ Provident Fund Scheme (Claims & recovery)  EPFO grievance redressal (Non-payment / delayed settlement)"
My boss is harassing me at the workplace,LABOUR,"Industrial Employment (Standing Orders) Act / Industrial Disputes Act, 1947 (Employer conduct & disciplinary action)  Sexual Harassment of Women at Workplace (PoSH) Act, 2013 (If harassment is sexual)  Indian Penal Code (IPC) Sections (Assault/Criminal intimidation) where applicable"
I was asked to resign due to my pregnancy,LABOUR,"Maternity Benefit Act, 1961 (Protection for pregnancy-related termination/dismissal)  Industrial Disputes Act, 1947 (Unfair labour practice for forcing resignation)  Shops & Establishment Act (State) (Pregnancy-related protections)"
My employer has not given me an appointment letter,LABOUR,"Shops & Establishment Act (State) (Requirement to issue appointment letter / employment contract)  Industrial Employment (Standing Orders) Act (Terms of employment)  Indian Contract Act, 1872 (Employment contract obligations)"
I am being discriminated against for my caste at work,LABOUR,"Constitution of India â€“ Article 15 & Article 17 (Prohibition of caste discrimination)  Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989 (If applicable)  Industrial Disputes Act / Employersâ€™ anti-discrimination obligations (Workplace equality laws)"
My company is not allowing paid leaves as per policy,LABOUR,"Shops & Establishment Act (State) (Leave & paid-leave policies)  Factories Act, 1948 (Leave rules for factory workers)  Industrial Disputes Act, 1947 (Dispute remedies if policy not followed)"
I am not getting my gratuity after retirement,LABOUR,"Payment of Gratuity Act, 1972 (Gratuity entitlement & payment rules)  Industrial Disputes Act, 1947 (Remedies for non-payment)  Shops & Establishment Act (State) (Local compliance)"
My employer is deducting salary for no valid reason,LABOUR,"Payment of Wages Act, 1936 (Deductions must be lawful)  Industrial Disputes Act, 1947 (Unlawful deductions & remedies)  Payment of Gratuity / Provident Fund rules (if relevant)"
I am being forced to sign a blank resignation letter,LABOUR,"Indian Contract Act, 1872 (Coercion / undue influence â€“ invalid contracts)  Industrial Disputes Act, 1947 (Unfair labour practice)  IPC provisions (Criminal intimidation if coercion involved)"
My employer is not providing a safe working environment,LABOUR,"Factories Act, 1948 & Shops & Establishment Act (State) (Health & safety provisions; safe working environment)  Employeesâ€™ State Insurance Act, 1948 (Medical benefits / workplace injury)"
I was denied promotion due to my gender,LABOUR,"Equal Remuneration Act, 1976 (Equal pay and non-discrimination)  Industrial Disputes Act, 1947 (Remedies for discriminatory decisions)  Constitution (Article 14 â€“ equality)"
My company is not following minimum wage laws,LABOUR,"Minimum Wages Act, 1948 (Payment of minimum wages)  Payment of Wages Act, 1936 (Wage compliance)  Shops & Establishment Act (State) (Local wage rules)"
I was transferred to a different city without consent,LABOUR,"Transfer/Service Rules / Shops & Establishment Act (State) (Transfer policies and notice requirements)  Industrial Disputes Act, 1947 (Unfair transfer without consent)  Indian Contract Act, 1872 (Employment contract terms)"
My employer is not depositing my ESI contributions,LABOUR,"Employeesâ€™ State Insurance Act, 1948 (ESI contributions and employer duty)  ESIC rules (Recovery & complaints)  Industrial Disputes Act (Remedies)"
I am being denied maternity benefits,LABOUR,"Maternity Benefit Act, 1961 (Maternity benefits & protection from discrimination)  Employeesâ€™ State Insurance Act, 1948 (Maternity benefit in ESIC-covered units)  Industrial Disputes Act (Remedies)"
My company is not giving me experience certificate,LABOUR,"Shops & Establishment Act (State) (Issuance of experience / service certificate)  Indian Contract Act, 1872 (Employer obligations under contract)  Industrial Disputes Act, 1947 (Remedies for refusal)"
I was suspended without any enquiry,LABOUR,"Industrial Disputes Act, 1947 (Suspension procedures and requirement of enquiry)  Industrial Employment (Standing Orders) Act (Disciplinary rules)  Natural justice principles (Right to be heard)"
My employer is not allowing me to join a union,LABOUR,"Trade Unions Act, 1926 & Industrial Disputes Act, 1947 (Right to unionise; protection against victimisation)  Constitution â€“ Article 19(1)(c) (Right to form unions/associations)"
I am being bullied by co-workers and management is ignoring it,LABOUR,"Industrial Disputes Act / Internal workplace policies (Grievance redressal)  POSH Act, 2013 (If bullying is sexual or gendered)  IPC provisions (If bullying amounts to criminal intimidation/assault)"
My employer is not giving me salary slips,LABOUR,"Industrial Disputes Act / Payment of Wages Act, 1936 (Salary records & payslips)  Income Tax rules (Salary documentation)  Shops & Establishment Act (State)"
I am being forced to work on national holidays,LABOUR,National Holidays Act / Shops & Establishment Act (State) & Factories Act (Rules regarding work on holidays)  Payment of Wages Act / Minimum Wages Act (Entitlement to extra payment for holidays)
My company is not paying overtime wages,LABOUR,"Payment of Wages Act, 1936 & Minimum Wages Act, 1948 (Overtime & overtime pay)  Factories Act, 1948 (Overtime rules)  Industrial Disputes Act (Remedies)"
I am being asked to do work outside my job description,LABOUR,"Indian Contract Act, 1872 (Scope of employment; assignment of duties beyond job description)  Shops & Establishment Act / Standing Orders (Scope of duties)  Industrial Disputes Act (Dispute remedies)"
My employer is not allowing me to take sick leave,LABOUR,Shops & Establishment Act / Factories Act (State rules for sick leave)  Maternity Benefit Act / Industrial Disputes Act (Where applicable)  Employee handbook / employment contract (Leave policy enforcement)
I am facing sexual harassment at the workplace,LABOUR,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (POSH mechanism & remedies)  IPC Sections (Assault/sexual offences)  Industrial Disputes Act (Workplace remedy)"
My employer is not providing basic facilities like drinking water,LABOUR,Factories Act / Shops & Establishment Act (Provision of potable water & basic facilities)  Occupational Safety & Health standards (Employer duty)  Municipal health norms (Enforcement)
I am not being paid for training period,LABOUR,Apprenticeship & Training Rules / Employment contract (Payment for training periods)  Minimum Wages Act (If training constitutes work)  Industrial Disputes Act (Remedies)
My company is not following safety regulations,LABOUR,"Factories Act, 1948 / Occupational Safety & Health rules (Safety regulations & employer duty)  Industrial Disputes Act (Remedies for violations)  IPC (If criminal negligence)"
I was demoted without any valid reason,LABOUR,"Industrial Disputes Act, 1947 (Demotion procedure & wrongful demotion remedy)  Standing Orders / Service Rules (Disciplinary norms)  Natural justice principles (Right to explanation & appeal)"
My employer is not reimbursing my travel expenses,LABOUR,Payment of Wages Act / Travel reimbursement policy / Indian Contract Act (Employer obligation to reimburse expenses)  Income Tax provisions (Travel reimbursement rules)  Industrial Disputes Act (Remedies for non-reimbursement)
I am being threatened with job loss if I complain,LABOUR,Industrial Disputes Act / Shops & Establishment Act (Protection against victimisation & unfair labour practice)  IPC (Criminal intimidation)  Worker grievance redressal (Internal & statutory)
My company is not contributing to my pension fund,LABOUR,"Employeesâ€™ Provident Funds & Misc. Provisions Act, 1952 (PF / pension obligations where applicable)  Employee pension scheme rules / EPFO (Recovery mechanism)  Payment of Wages / Industrial Disputes Act (Remedies)"
I am not getting equal pay for equal work,LABOUR,"Equal Remuneration Act, 1976 & Constitution (Articles 14 & 16) (Equal pay for equal work)  Industrial Disputes Act (Remedies)  Minimum Wages Act (Wage parity enforcement)"
My employer is not providing insurance coverage,LABOUR,Employeesâ€™ State Insurance Act / Employer insurance obligations (Industry-specific)  Industrial Disputes Act (Remedies)  Insurance Contract Act (Policy terms enforcement)
I am being forced to sign unfair employment contract,LABOUR,"Indian Contract Act, 1872 (Undue influence / coercion â€“ invalid contract clauses)  Industrial Disputes Act (Unfair labour practice)  Shops & Establishment Act (State) (Contract compliance)"
My employer refuses to provide medical leave,LABOUR,Shops & Establishment Act / Factory Rules (Medical leave provisions)  Employeesâ€™ State Insurance Act (Medical benefits where covered)  Industrial Disputes Act (Remedies)
My company is not allowing breaks during work hours,LABOUR,Shops & Establishment Act / Factories Act (Duty to provide rest breaks & meal intervals)  Industrial Employment (Standing Orders) Act (Rest & break rules)  Occupational Safety & Health Codes (Worker welfare)
I am being denied leave for important family events,LABOUR,Shops & Establishment Act / Leave policy / Compassionate leave rules (Leave for family events)  Industrial Disputes Act (Remedies if denied)  Indian Contract Act (Employment contract terms)
My employer is deducting PF without depositing it,LABOUR,"Employeesâ€™ Provident Funds & Misc. Provisions Act, 1952 (PF deductions must be deposited)  EPFO (Recovery & penalty provisions)  Payment of Wages Act (Illegal deductions)"
I am not getting salary for notice period,LABOUR,Payment of Wages Act / Employment contract (Payment for notice period)  Industrial Disputes Act (Remedies for non-payment)  Shops & Establishment Act (State-specific norms)
My company is not following anti-discrimination policies,LABOUR,Constitution & Equal Opportunity laws / Industrial Disputes Act (Anti-discrimination enforcement)  Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act (if caste-based)  Labour Codes (where applicable)
I am being forced to work in unsafe conditions,LABOUR,Factories Act / Occupational Safety Codes (Unsafe conditions â€“ employer duty)  Industrial Disputes Act (Remedies & stoppage)  IPC (If conditions cause harm / criminal negligence)
My employer is not providing proper toilet facilities,LABOUR,Factories Act / Shops & Establishment Act (Duty to provide toilet facilities & sanitation)  Occupational Safety & Health standards (Basic sanitation)  Municipal health regulations (Enforcement)
My company is not following labour laws,LABOUR,Industrial Disputes Act / Shops & Establishment Act (Employer compliance with labour statutes)  Labour Codes (Central labour reforms)  Penalties under specific enactments for non-compliance
I am being denied bonus as per law,LABOUR,"Payment of Bonus Act, 1965 (Bonus entitlement & payment rules)  Industrial Disputes Act (Remedies for denial)  Shops & Establishment Act (Bonus policy, if applicable)"
My employer is not paying me for work done during weekends,LABOUR,Payment of Wages Act / Minimum Wages Act (Pay for weekend work / overtime)  Factories Act (Overtime & extra pay)  Industrial Disputes Act (Remedies)
My company is not allowing me to resign freely,LABOUR,Industrial Employment (Standing Orders) Act / Shops & Establishment Act (Freedom to resign and procedure)  Indian Contract Act (Resignation clauses)  Industrial Disputes Act (If resignation coerced)
My employer is not giving me termination letter,LABOUR,Industrial Disputes Act / Shops & Establishment Act (Requirement to issue termination letter)  Standing Orders / Service Rules (Documentation on termination)  Indian Contract Act (Acknowledgement of termination)
I have been falsely accused of theft,CRIMINAL,"IPC Section 420, IPC Section 211, Criminal Procedure Code"
The police are harassing me without any evidence,CRIMINAL,"Criminal Procedure Code Section 154, IPC Section 186, Human Rights Act / State Police Act"
I am being threatened by my neighbour,CRIMINAL,"IPC Section 506, IPC Section 507, Civil Remedies (Restraining orders)"
My house was burgled and the police are not taking action,CRIMINAL,"IPC Section 457/380, Criminal Procedure Code, Police Act / Human Rights Protection"
I am facing domestic violence at home,CRIMINAL,"Protection of Women from Domestic Violence Act 2005, IPC Section 498A, IPC Section 323/324"
I am being blackmailed online,CRIMINAL,"IPC Section 384, IPC Section 66E/66A IT Act, Cybercrime Act"
I was assaulted in public and no FIR was registered,CRIMINAL,"IPC Section 323/324, Criminal Procedure Code, IPC Section 341"
I am being extorted for money,CRIMINAL,"IPC Section 384, IPC Section 385/386, IPC Section 506"
My car was stolen and the police are delaying investigation,CRIMINAL,"IPC Section 379, Criminal Procedure Code, Motor Vehicle Act"
I am being stalked by someone,CRIMINAL,"IPC Section 354D, IPC Section 506, Cybercrime Act"
I am being falsely implicated in a criminal case,CRIMINAL,"IPC Section 211, Criminal Procedure Code, IPC Section 182"
My family member is missing and police are not helping,CRIMINAL,"Criminal Procedure Code, IPC Section 174, Juvenile Justice / Child Protection Act"
I am being defamed on social media,CRIMINAL,"IPC Section 499/500, IT Act Section 66D, Civil Remedies"
I am being forced to sign documents under threat,CRIMINAL,"IPC Section 384, IPC Section 506, Indian Contract Act Section 15"
My property was damaged by miscreants,CRIMINAL,"IPC Section 427, IPC Section 336, Civil Procedure Code"
I was cheated in a business deal,CRIMINAL,"IPC Section 420, Indian Contract Act, Consumer Protection Act"
I am facing threats for reporting illegal activities,CRIMINAL,"IPC Section 506, Whistleblower Protection Act 2014, IPC Section 182"
I am being harassed for dowry,CRIMINAL,"IPC Section 498A, Dowry Prohibition Act 1961, IPC Section 506"
My child is being bullied at school,CRIMINAL,"POCSO Act, IPC Section 323/504, Education Act / State Rules"
I am a victim of cyber crime,CRIMINAL,"IT Act Sections 66/66C/66D, IPC Section 420, Cybercrime Rules / State Cyber Cell"
I am being threatened with acid attack,CRIMINAL,"IPC Section 326A, IPC Section 506, Criminal Procedure Code"
I am being harassed for caste reasons,CRIMINAL,"SC/ST Prevention of Atrocities Act, IPC Section 506, IPC Section 153A"
My documents were forged and misused,CRIMINAL,"IPC Section 468, IPC Section 471, IPC Section 420"
I am being forced into marriage against my will,CRIMINAL,"IPC Section 366B, Prohibition of Child Marriage Act 2006, IPC Section 506"
I am being harassed for interfaith relationship,CRIMINAL,"IPC Section 506, IPC Section 499/500, Protection of Civil Rights Act"
I was arrested without a warrant,CRIMINAL,"Criminal Procedure Code Section 41, IPC Section 342, Human Rights Act / State Police Rules"
I am being harassed for sexual orientation,CRIMINAL,"IPC Section 506, Constitution Article 14 & 15, Criminal Remedies / Cybercrime Act"
My business is being targeted by local goons,CRIMINAL,"IPC Section 506, IPC Section 427, Criminal Procedure Code"
I am being threatened for not paying bribes,CRIMINAL,"IPC Section 153B, Prevention of Corruption Act, IPC Section 506"
My identity was stolen and misused,CRIMINAL,"IPC Section 66C IT Act, IPC Section 420, Civil Remedies"
I am a victim of physical assault,CRIMINAL,"IPC Section 323/324, IPC Section 341, Criminal Procedure Code"
I am being harassed for whistleblowing,CRIMINAL,"Whistleblower Protection Act 2014, IPC Section 506, IPC Section 182"
My phone was hacked and private data leaked,CRIMINAL,"IPC Section 66E IT Act, IPC Section 43 IT Act, Cybercrime Act / Criminal Procedure Code"
I am being threatened for political reasons,CRIMINAL,"IPC Section 506, Representation of the People Act, Human Rights Act / Criminal remedies"
I am being harassed for participating in protests,CRIMINAL,"IPC Section 143, IPC Section 186/353, Human Rights Act / Criminal remedies"
My bank account was fraudulently accessed,CRIMINAL,"IPC Section 66C IT Act, IPC Section 420, Banking Regulations / Consumer Protection Act"
I am being targeted for being a minority,CRIMINAL,"Constitution Article 14 & 15, SC/ST Act, IPC Section 506"
My vehicle was vandalized,CRIMINAL,"IPC Section 427, IPC Section 506, Criminal Procedure Code"
I am being harassed by debt collectors,CRIMINAL,"IPC Section 503/506, Banking Regulation Act, Consumer Protection Act"
I am being forced to withdraw a police complaint,CRIMINAL,"IPC Section 176, IPC Section 503, Criminal Procedure Code"
My child was kidnapped,CRIMINAL,"IPC Section 363/364, Juvenile Justice Act, Criminal Procedure Code"
I am being framed for a crime I did not commit,CRIMINAL,"IPC Section 211, IPC Section 182, Criminal Procedure Code"
I am being harassed for property dispute,CRIMINAL,"IPC Section 506, IPC Section 427, Civil Procedure Code"
My reputation is being tarnished with false allegations,CRIMINAL,"IPC Section 499/500, Indian Contract Act, Civil remedies"
I am being targeted for social activism,CRIMINAL,"IPC Section 506, IPC Section 153A, Human Rights Act / Criminal remedies"
My business partner is threatening me,CRIMINAL,"IPC Section 506, IPC Section 427, Civil remedies"
I am being harassed for online posts,CRIMINAL,"IPC Section 66A/66E IT Act, IPC Section 506, Civil remedies"
My family is facing threats from local criminals,CRIMINAL,"IPC Section 506, IPC Section 427, Criminal Procedure Code"
I am being threatened with physical harm,CRIMINAL,"IPC Section 506, IPC Section 324, Criminal Procedure Code"
I want to file for divorce from my spouse,FAMILY,"Hindu Marriage Act, 1955 (Sections 13, 14); Civil Procedure Code (Filing petition)"
I am facing domestic violence from my partner,FAMILY,"Protection of Women from Domestic Violence Act, 2005; IPC Section 498A (Cruelty); IPC Sections 323/324 (Assault)"
I want custody of my child after separation,FAMILY,"Guardians and Wards Act, 1890; Hindu Minority and Guardianship Act, 1956; Family Court Act, 1984"
My spouse is not paying maintenance or alimony,FAMILY,"Hindu Adoption and Maintenance Act, 1956; Section 125 CrPC (Maintenance)"
I am being denied visitation rights to my child,FAMILY,"Guardians and Wards Act, 1890; Family Court Act, 1984"
I want to adopt a child legally,FAMILY,"Juvenile Justice (Care and Protection of Children) Act, 2015; Hindu Adoption and Maintenance Act, 1956"
My spouse is not disclosing income for child support,FAMILY,Section 125 CrPC (Maintenance); Civil Remedies / Family Court Orders
I am being harassed for dowry by in-laws,FAMILY,"Dowry Prohibition Act, 1961; IPC Section 498A (Cruelty)"
I want to challenge a will made by my parent,FAMILY,"Indian Succession Act, 1925; Civil Procedure Code (Contest / Probate)"
My spouse is not allowing me to meet my parents,FAMILY,IPC Section 498A (Cruelty); Civil Remedies / Family Court
I want to change my child's name legally,FAMILY,"Registration of Births and Deaths Act, 1969; High Court / District Court Procedures"
I am facing harassment from my spouse's family,FAMILY,"IPC Section 498A (Cruelty); Protection of Women from Domestic Violence Act, 2005"
I want to claim ancestral property rights,FAMILY,"Hindu Succession Act, 1956; Civil Procedure Code (Partition / Inheritance)"
My spouse is not cooperating in mutual divorce,FAMILY,"Hindu Marriage Act, 1955 (Sections 13B); Family Court Act, 1984"
I am being forced into marriage against my will,FAMILY,"IPC Section 366B (Importation of minor girl for marriage); Prohibition of Child Marriage Act, 2006"
I want to register my marriage legally,FAMILY,"Hindu Marriage Act, 1955 / Special Marriage Act, 1954; Registration of Marriage Rules"
I am facing cruelty from my spouse,FAMILY,"IPC Section 498A (Cruelty); Protection of Women from Domestic Violence Act, 2005"
I want to file for annulment of marriage,FAMILY,"Hindu Marriage Act, 1955 (Section 12); Civil Procedure Code (Filing petition)"
My spouse is hiding assets during divorce,FAMILY,"Hindu Marriage Act, 1955; Civil Procedure Code (Discovery / Asset Declaration)"
I want to get protection from abusive family members,FAMILY,"Protection of Women from Domestic Violence Act, 2005; IPC Section 506 (Criminal Intimidation)"
I am being denied share in family property,FAMILY,"Hindu Succession Act, 1956; Civil Procedure Code (Partition / Inheritance)"
I want to challenge child custody order,FAMILY,"Guardians and Wards Act, 1890; Family Court Act, 1984"
My spouse is not returning my personal belongings,FAMILY,IPC Section 406 (Criminal Breach of Trust); Civil Remedies / Recovery
I want to file for maintenance for parents,FAMILY,"Hindu Adoption and Maintenance Act, 1956; Section 125 CrPC (Maintenance)"
My spouse is not allowing me to work,FAMILY,IPC Section 498A (Cruelty); Civil Remedies / Family Court
I want to claim guardianship of a minor,FAMILY,"Guardians and Wards Act, 1890; Hindu Minority and Guardianship Act, 1956"
I am being denied right to residence by family,FAMILY,"Protection of Women from Domestic Violence Act, 2005; IPC Section 506 (Criminal Intimidation)"
My spouse is threatening me with false cases,FAMILY,IPC Section 211 (False charge of offense); IPC Section 506 (Criminal Intimidation)
